transaction_id,customer_id,amount,payment_status,agent_action,execution_status,recovery_status,recovered_amount,policy_reason,execution_message,executed_at
TX00001,CUST1163,499.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00002,CUST1026,9999.0,failed,stop,BLOCKED,not_attempted,0.0,Action 'stop' is not executable by the recovery policy.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00003,CUST1055,999.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00004,CUST1139,2499.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00005,CUST1087,1299.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00006,CUST1091,1999.0,failed,stop,BLOCKED,not_attempted,0.0,Action 'stop' is not executable by the recovery policy.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00007,CUST1075,9999.0,failed,stop,BLOCKED,not_attempted,0.0,Action 'stop' is not executable by the recovery policy.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00008,CUST1169,999.0,failed,retry,BLOCKED,not_attempted,0.0,Maximum retry attempts reached.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00009,CUST1162,1999.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00010,CUST1174,9999.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00011,CUST1069,9999.0,failed,stop,BLOCKED,not_attempted,0.0,Action 'stop' is not executable by the recovery policy.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00012,CUST1080,2499.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00013,CUST1101,9999.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00014,CUST1137,1299.0,failed,escalate,BLOCKED,not_attempted,0.0,Action 'escalate' is not executable by the recovery policy.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00015,CUST1130,3499.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00016,CUST1174,2499.0,failed,escalate,BLOCKED,not_attempted,0.0,Action 'escalate' is not executable by the recovery policy.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00017,CUST1002,9999.0,failed,stop,BLOCKED,not_attempted,0.0,Action 'stop' is not executable by the recovery policy.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00018,CUST1075,2499.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00019,CUST1129,499.0,abandoned,stop,BLOCKED,not_attempted,0.0,Action 'stop' is not executable by the recovery policy.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00020,CUST1050,799.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00021,CUST1028,1999.0,abandoned,reminder,SIMULATED,FOLLOW_UP,0.0,Transaction passed all recovery policy checks.,Recovery reminder scheduled in Test Mode simulation.,2026-09-04 23:17:30
TX00022,CUST1145,499.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00023,CUST1121,4999.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00024,CUST1176,999.0,failed,escalate,BLOCKED,not_attempted,0.0,Action 'escalate' is not executable by the recovery policy.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00025,CUST1063,999.0,success,stop,BLOCKED,not_attempted,0.0,Payment is already successful.,Recovery action blocked by policy governance.,2026-09-04 23:17:30
