transaction_id,customer_id,amount,payment_status,failure_reason,attempt_count,customer_previous_payments,customer_previous_failures,days_since_event,subscription_status,recovery_eligible,recommended_action,transaction_date,risk_score,risk_level,detected_revenue_at_risk,agent_diagnosis,agent_action,agent_confidence,agent_reason
TX00001,CUST1163,499,success,,2,7,1,4,not_applicable,False,stop,2026-08-29 07:37:20,10,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00002,CUST1026,9999,failed,authentication_failed,1,13,0,0,active,False,escalate,2026-09-02 07:37:20,50,medium,9999,Low recovery probability,stop,0.76,Available evidence does not justify another recovery attempt.
TX00003,CUST1055,999,success,,1,6,5,20,not_applicable,False,stop,2026-08-13 07:37:20,0,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00004,CUST1139,2499,success,,2,0,0,22,inactive,False,stop,2026-08-11 07:37:20,0,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00005,CUST1087,1299,success,,2,3,0,12,active,False,stop,2026-08-21 07:37:20,5,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00006,CUST1091,1999,failed,timeout,4,3,3,2,not_applicable,True,retry,2026-08-31 07:37:20,40,medium,1999,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.
TX00007,CUST1075,9999,failed,bank_declined,5,6,5,2,active,False,escalate,2026-08-31 07:37:20,55,medium,9999,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.
TX00008,CUST1169,999,failed,timeout,2,3,3,8,inactive,True,retry,2026-08-25 07:37:20,55,medium,999,Low recovery probability,stop,0.76,Available evidence does not justify another recovery attempt.
TX00009,CUST1162,1999,success,,2,6,5,8,not_applicable,False,stop,2026-08-25 07:37:20,5,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00010,CUST1174,9999,success,,1,7,1,14,inactive,False,stop,2026-08-19 07:37:20,20,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00011,CUST1069,9999,failed,network_error,3,1,0,26,active,True,retry,2026-08-07 07:37:20,40,medium,9999,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.
TX00012,CUST1080,2499,success,,1,10,1,20,inactive,False,stop,2026-08-13 07:37:20,5,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00013,CUST1101,9999,success,,2,4,1,23,not_applicable,False,stop,2026-08-10 07:37:20,0,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00014,CUST1137,1299,failed,insufficient_funds,5,12,2,7,active,False,escalate,2026-08-26 07:37:20,25,low,0,Insufficient funds,wait,0.91,Immediate repeated retries could create unnecessary payment attempts.
TX00015,CUST1130,3499,success,,1,3,1,20,active,False,stop,2026-08-13 07:37:20,0,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00016,CUST1174,2499,failed,insufficient_funds,4,14,4,8,not_applicable,False,escalate,2026-08-25 07:37:20,30,low,0,Insufficient funds,wait,0.91,Immediate repeated retries could create unnecessary payment attempts.
TX00017,CUST1002,9999,failed,upi_failure,5,8,5,10,active,True,retry,2026-08-23 07:37:20,55,medium,9999,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.
TX00018,CUST1075,2499,success,,1,8,4,24,active,False,stop,2026-08-09 07:37:20,0,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00019,CUST1129,499,abandoned,checkout_abandoned,0,9,5,16,not_applicable,True,reminder,2026-08-17 07:37:20,15,low,0,Stale abandoned checkout,stop,0.82,The abandoned checkout is too old for an immediate recovery attempt.
TX00020,CUST1050,799,success,,1,0,1,15,active,False,stop,2026-08-18 07:37:20,0,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00021,CUST1028,1999,abandoned,checkout_abandoned,0,9,1,1,active,True,reminder,2026-09-01 07:37:20,35,low,0,Checkout abandonment,reminder,0.88,Recent abandoned checkout with potential purchase intent.
TX00022,CUST1145,499,success,,2,2,1,4,not_applicable,False,stop,2026-08-29 07:37:20,5,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00023,CUST1121,4999,success,,2,6,4,24,not_applicable,False,stop,2026-08-09 07:37:20,0,low,0,Payment already successful,stop,0.99,No recovery is required.
TX00024,CUST1176,999,failed,insufficient_funds,3,14,4,14,active,False,escalate,2026-08-19 07:37:20,20,low,0,Insufficient funds,wait,0.91,Immediate repeated retries could create unnecessary payment attempts.
TX00025,CUST1063,999,success,,1,7,4,7,active,False,stop,2026-08-26 07:37:20,5,low,0,Payment already successful,stop,0.99,No recovery is required.
