transaction_id,customer_id,amount,payment_status,failure_reason,attempt_count,customer_previous_payments,customer_previous_failures,days_since_event,subscription_status,recovery_eligible,recommended_action,transaction_date,risk_score,risk_level,detected_revenue_at_risk
TX00001,CUST1163,499,success,,2,7,1,4,not_applicable,False,stop,2026-08-29 07:37:20,10,low,0
TX00002,CUST1026,9999,failed,authentication_failed,1,13,0,0,active,False,escalate,2026-09-02 07:37:20,50,medium,9999
TX00003,CUST1055,999,success,,1,6,5,20,not_applicable,False,stop,2026-08-13 07:37:20,0,low,0
TX00004,CUST1139,2499,success,,2,0,0,22,inactive,False,stop,2026-08-11 07:37:20,0,low,0
TX00005,CUST1087,1299,success,,2,3,0,12,active,False,stop,2026-08-21 07:37:20,5,low,0
TX00006,CUST1091,1999,failed,timeout,4,3,3,2,not_applicable,True,retry,2026-08-31 07:37:20,40,medium,1999
TX00007,CUST1075,9999,failed,bank_declined,5,6,5,2,active,False,escalate,2026-08-31 07:37:20,55,medium,9999
TX00008,CUST1169,999,failed,timeout,2,3,3,8,inactive,True,retry,2026-08-25 07:37:20,55,medium,999
TX00009,CUST1162,1999,success,,2,6,5,8,not_applicable,False,stop,2026-08-25 07:37:20,5,low,0
TX00010,CUST1174,9999,success,,1,7,1,14,inactive,False,stop,2026-08-19 07:37:20,20,low,0
TX00011,CUST1069,9999,failed,network_error,3,1,0,26,active,True,retry,2026-08-07 07:37:20,40,medium,9999
TX00012,CUST1080,2499,success,,1,10,1,20,inactive,False,stop,2026-08-13 07:37:20,5,low,0
TX00013,CUST1101,9999,success,,2,4,1,23,not_applicable,False,stop,2026-08-10 07:37:20,0,low,0
TX00014,CUST1137,1299,failed,insufficient_funds,5,12,2,7,active,False,escalate,2026-08-26 07:37:20,25,low,0
TX00015,CUST1130,3499,success,,1,3,1,20,active,False,stop,2026-08-13 07:37:20,0,low,0
TX00016,CUST1174,2499,failed,insufficient_funds,4,14,4,8,not_applicable,False,escalate,2026-08-25 07:37:20,30,low,0
TX00017,CUST1002,9999,failed,upi_failure,5,8,5,10,active,True,retry,2026-08-23 07:37:20,55,medium,9999
TX00018,CUST1075,2499,success,,1,8,4,24,active,False,stop,2026-08-09 07:37:20,0,low,0
TX00019,CUST1129,499,abandoned,checkout_abandoned,0,9,5,16,not_applicable,True,reminder,2026-08-17 07:37:20,15,low,0
TX00020,CUST1050,799,success,,1,0,1,15,active,False,stop,2026-08-18 07:37:20,0,low,0
TX00021,CUST1028,1999,abandoned,checkout_abandoned,0,9,1,1,active,True,reminder,2026-09-01 07:37:20,35,low,0
TX00022,CUST1145,499,success,,2,2,1,4,not_applicable,False,stop,2026-08-29 07:37:20,5,low,0
TX00023,CUST1121,4999,success,,2,6,4,24,not_applicable,False,stop,2026-08-09 07:37:20,0,low,0
TX00024,CUST1176,999,failed,insufficient_funds,3,14,4,14,active,False,escalate,2026-08-19 07:37:20,20,low,0
TX00025,CUST1063,999,success,,1,7,4,7,active,False,stop,2026-08-26 07:37:20,5,low,0
TX00026,CUST1018,9999,success,,1,1,1,2,not_applicable,False,stop,2026-08-31 07:37:20,15,low,0
TX00027,CUST1060,1299,failed,network_error,5,4,5,29,not_applicable,True,retry,2026-08-04 07:37:20,25,low,0
TX00028,CUST1147,3499,success,,2,13,1,3,active,False,stop,2026-08-30 07:37:20,20,low,0
TX00029,CUST1168,2499,success,,2,14,5,1,not_applicable,False,stop,2026-09-01 07:37:20,15,low,0
TX00030,CUST1167,9999,success,,2,10,0,7,active,False,stop,2026-08-26 07:37:20,20,low,0
TX00031,CUST1048,4999,success,,2,5,2,14,active,False,stop,2026-08-19 07:37:20,20,low,0
TX00032,CUST1019,3499,failed,authentication_failed,1,1,2,17,active,False,escalate,2026-08-16 07:37:20,30,low,0
TX00033,CUST1023,999,success,,2,15,1,27,inactive,False,stop,2026-08-06 07:37:20,0,low,0
TX00034,CUST1015,799,success,,2,8,3,9,inactive,False,stop,2026-08-24 07:37:20,5,low,0
TX00035,CUST1178,4999,failed,insufficient_funds,2,6,2,6,active,False,escalate,2026-08-27 07:37:20,50,medium,4999
TX00036,CUST1148,4999,success,,2,1,0,18,inactive,False,stop,2026-08-15 07:37:20,0,low,0
TX00037,CUST1128,4999,success,,1,5,0,19,active,False,stop,2026-08-14 07:37:20,5,low,0
TX00038,CUST1172,999,success,,1,1,2,2,inactive,False,stop,2026-08-31 07:37:20,5,low,0
TX00039,CUST1168,7999,failed,bank_declined,3,6,5,22,inactive,False,escalate,2026-08-11 07:37:20,40,medium,7999
TX00040,CUST1061,1299,success,,2,14,2,29,active,False,stop,2026-08-04 07:37:20,0,low,0
TX00041,CUST1002,3499,failed,authentication_failed,1,2,1,16,inactive,False,escalate,2026-08-17 07:37:20,30,low,0
TX00042,CUST1033,1999,abandoned,checkout_abandoned,0,7,2,9,active,True,reminder,2026-08-24 07:37:20,35,low,0
TX00043,CUST1112,4999,failed,authentication_failed,5,0,1,29,not_applicable,False,escalate,2026-08-04 07:37:20,15,low,0
TX00044,CUST1026,799,success,,1,4,2,9,not_applicable,False,stop,2026-08-24 07:37:20,5,low,0
TX00045,CUST1053,1999,success,,2,15,2,28,active,False,stop,2026-08-05 07:37:20,0,low,0
TX00046,CUST1023,9999,success,,2,1,0,10,active,False,stop,2026-08-23 07:37:20,15,low,0
TX00047,CUST1163,1299,success,,2,13,4,0,active,False,stop,2026-09-02 07:37:20,5,low,0
TX00048,CUST1019,799,success,,2,4,3,4,active,False,stop,2026-08-29 07:37:20,0,low,0
TX00049,CUST1078,1999,abandoned,checkout_abandoned,0,1,1,6,not_applicable,True,reminder,2026-08-27 07:37:20,30,low,0
TX00050,CUST1063,9999,success,,2,4,1,27,active,False,stop,2026-08-06 07:37:20,0,low,0
TX00051,CUST1045,2499,success,,2,13,5,27,not_applicable,False,stop,2026-08-06 07:37:20,0,low,0
TX00052,CUST1063,1299,success,,1,12,0,27,inactive,False,stop,2026-08-06 07:37:20,0,low,0
TX00053,CUST1056,999,failed,insufficient_funds,3,9,1,7,active,False,escalate,2026-08-26 07:37:20,25,low,0
TX00054,CUST1168,999,success,,2,2,2,11,not_applicable,False,stop,2026-08-22 07:37:20,5,low,0
TX00055,CUST1130,2499,failed,authentication_failed,3,0,0,28,inactive,False,escalate,2026-08-05 07:37:20,15,low,0
TX00056,CUST1045,7999,abandoned,checkout_abandoned,0,8,0,3,not_applicable,True,reminder,2026-08-30 07:37:20,45,medium,7999
TX00057,CUST1111,1999,failed,bank_declined,4,3,3,28,not_applicable,False,escalate,2026-08-05 07:37:20,25,low,0
TX00058,CUST1048,1299,success,,2,0,0,11,inactive,False,stop,2026-08-22 07:37:20,5,low,0
TX00059,CUST1017,9999,abandoned,checkout_abandoned,0,10,5,27,active,True,reminder,2026-08-06 07:37:20,25,low,0
TX00060,CUST1184,1299,success,,2,10,3,22,inactive,False,stop,2026-08-11 07:37:20,0,low,0
TX00061,CUST1141,799,success,,2,5,4,18,inactive,False,stop,2026-08-15 07:37:20,0,low,0
TX00062,CUST1103,4999,failed,bank_declined,3,6,3,25,not_applicable,False,escalate,2026-08-08 07:37:20,40,medium,4999
TX00063,CUST1155,9999,success,,2,14,5,6,not_applicable,False,stop,2026-08-27 07:37:20,15,low,0
TX00064,CUST1121,799,failed,bank_declined,5,10,0,26,active,False,escalate,2026-08-07 07:37:20,35,low,0
