transaction_id,customer_id,amount,payment_status,failure_reason,risk_score,risk_level,agent_diagnosis,agent_action,agent_confidence,agent_reason,policy_decision,policy_reason,execution_status,recovery_status,recovered_amount,execution_message,executed_at
TX00001,CUST1163,499.0,success,unknown,10,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00002,CUST1026,9999.0,failed,authentication_failed,50,medium,Low recovery probability / Ineligible,stop,0.85,Payment failure reason 'authentication_failed' is not eligible for recovery.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00003,CUST1055,999.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00004,CUST1139,2499.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00005,CUST1087,1299.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00006,CUST1091,1999.0,failed,timeout,40,medium,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00007,CUST1075,9999.0,failed,bank_declined,55,medium,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00008,CUST1169,999.0,failed,timeout,55,medium,Technical payment failure retry,retry,0.85,System technical glitch detected with potential recovery capability.,BLOCK,Maximum retry attempts reached.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00009,CUST1162,1999.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00010,CUST1174,9999.0,success,unknown,20,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00011,CUST1069,9999.0,failed,network_error,40,medium,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00012,CUST1080,2499.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00013,CUST1101,9999.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00014,CUST1137,1299.0,failed,insufficient_funds,25,low,Insufficient funds,escalate,0.91,Immediate repeated retries could create unnecessary payment attempts.,BLOCK,Action 'escalate' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00015,CUST1130,3499.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00016,CUST1174,2499.0,failed,insufficient_funds,30,low,Insufficient funds,escalate,0.91,Immediate repeated retries could create unnecessary payment attempts.,BLOCK,Action 'escalate' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00017,CUST1002,9999.0,failed,upi_failure,55,medium,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00018,CUST1075,2499.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00019,CUST1129,499.0,abandoned,checkout_abandoned,15,low,Stale abandoned checkout,stop,0.82,The abandoned checkout is too old for an immediate recovery attempt.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00020,CUST1050,799.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00021,CUST1028,1999.0,abandoned,checkout_abandoned,35,low,Checkout abandonment,reminder,0.88,Recent abandoned checkout with potential purchase intent.,ALLOW,Transaction passed all recovery policy checks.,SIMULATED,FOLLOW_UP,0.0,Recovery reminder scheduled in Test Mode simulation.,2026-09-04 23:17:30
TX00022,CUST1145,499.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00023,CUST1121,4999.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00024,CUST1176,999.0,failed,insufficient_funds,20,low,Insufficient funds,escalate,0.91,Immediate repeated retries could create unnecessary payment attempts.,BLOCK,Action 'escalate' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00025,CUST1063,999.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00026,CUST1018,9999.0,success,unknown,15,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00027,CUST1060,1299.0,failed,network_error,25,low,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00028,CUST1147,3499.0,success,unknown,20,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00029,CUST1168,2499.0,success,unknown,15,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00030,CUST1167,9999.0,success,unknown,20,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00031,CUST1048,4999.0,success,unknown,20,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00032,CUST1019,3499.0,failed,authentication_failed,30,low,Stale recovery opportunity,stop,0.94,The transaction is outside the recovery window.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00033,CUST1023,999.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00034,CUST1015,799.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00035,CUST1178,4999.0,failed,insufficient_funds,50,medium,Insufficient funds,escalate,0.91,Immediate repeated retries could create unnecessary payment attempts.,BLOCK,Action 'escalate' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00036,CUST1148,4999.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00037,CUST1128,4999.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00038,CUST1172,999.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00039,CUST1168,7999.0,failed,bank_declined,40,medium,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00040,CUST1061,1299.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00041,CUST1002,3499.0,failed,authentication_failed,30,low,Stale recovery opportunity,stop,0.94,The transaction is outside the recovery window.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00042,CUST1033,1999.0,abandoned,checkout_abandoned,35,low,Stale abandoned checkout,stop,0.82,The abandoned checkout is too old for an immediate recovery attempt.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00043,CUST1112,4999.0,failed,authentication_failed,15,low,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00044,CUST1026,799.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00045,CUST1053,1999.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00046,CUST1023,9999.0,success,unknown,15,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00047,CUST1163,1299.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00048,CUST1019,799.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00049,CUST1078,1999.0,abandoned,checkout_abandoned,30,low,Checkout abandonment,reminder,0.88,Recent abandoned checkout with potential purchase intent.,ALLOW,Transaction passed all recovery policy checks.,SIMULATED,FOLLOW_UP,0.0,Recovery reminder scheduled in Test Mode simulation.,2026-09-04 23:17:30
TX00050,CUST1063,9999.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00051,CUST1045,2499.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00052,CUST1063,1299.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00053,CUST1056,999.0,failed,insufficient_funds,25,low,Insufficient funds,escalate,0.91,Immediate repeated retries could create unnecessary payment attempts.,BLOCK,Action 'escalate' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00054,CUST1168,999.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00055,CUST1130,2499.0,failed,authentication_failed,15,low,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00056,CUST1045,7999.0,abandoned,checkout_abandoned,45,medium,Checkout abandonment,reminder,0.88,Recent abandoned checkout with potential purchase intent.,ALLOW,Transaction passed all recovery policy checks.,SIMULATED,FOLLOW_UP,0.0,Recovery reminder scheduled in Test Mode simulation.,2026-09-04 23:17:30
TX00057,CUST1111,1999.0,failed,bank_declined,25,low,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00058,CUST1048,1299.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00059,CUST1017,9999.0,abandoned,checkout_abandoned,25,low,Stale abandoned checkout,stop,0.82,The abandoned checkout is too old for an immediate recovery attempt.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00060,CUST1184,1299.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00061,CUST1141,799.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00062,CUST1103,4999.0,failed,bank_declined,40,medium,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00063,CUST1155,9999.0,success,unknown,15,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00064,CUST1121,799.0,failed,bank_declined,35,low,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00065,CUST1172,1299.0,success,unknown,5,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00066,CUST1121,7999.0,failed,timeout,40,medium,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00067,CUST1183,2499.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00068,CUST1192,499.0,failed,network_error,50,medium,Technical payment failure retry,retry,0.85,System technical glitch detected with potential recovery capability.,BLOCK,Maximum retry attempts reached.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00069,CUST1031,3499.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00070,CUST1129,2499.0,failed,authentication_failed,15,low,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00071,CUST1115,1299.0,failed,upi_failure,45,medium,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00072,CUST1112,499.0,failed,network_error,35,low,Retry limit reached,stop,0.97,Maximum retry attempts have already been reached.,BLOCK,Action 'stop' is not executable by the recovery policy.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00073,CUST1020,799.0,success,unknown,0,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
TX00074,CUST1106,2499.0,success,unknown,20,low,Payment already successful,stop,0.99,No recovery is required.,BLOCK,Payment is already successful.,BLOCKED,not_attempted,0.0,Recovery action blocked by policy governance.,2026-09-04 23:17:30
